name,season,age,team,games,wins,losses,gabv_500,po_games,po_wins,po_losses
Rick Adelman,1988-89,42,POR,35,14,21,-3.5,3,0,3
Rick Adelman,1989-90,43,POR,82,59,23,18.0,21,12,9
Rick Adelman,1990-91,44,POR,82,63,19,22.0,16,9,7
Rick Adelman,1991-92,45,POR,82,57,25,16.0,21,13,8
Rick Adelman,1992-93,46,POR,82,51,31,10.0,4,1,3
Rick Adelman,1993-94,47,POR,82,47,35,6.0,4,1,3
Rick Adelman,1995-96,49,GSW,82,36,46,-5.0,"","",""
Rick Adelman,1996-97,50,GSW,82,30,52,-11.0,"","",""
Rick Adelman,1998-99,52,SAC,50,27,23,2.0,5,2,3
Rick Adelman,1999-00,53,SAC,82,44,38,3.0,5,2,3
Rick Adelman,2000-01,54,SAC,82,55,27,14.0,8,3,5
Rick Adelman,2001-02,55,SAC,82,61,21,20.0,16,10,6
Rick Adelman,2002-03,56,SAC,82,59,23,18.0,12,7,5
Rick Adelman,2003-04,57,SAC,82,55,27,14.0,12,7,5
Rick Adelman,2004-05,58,SAC,82,50,32,9.0,5,1,4
Rick Adelman,2005-06,59,SAC,82,44,38,3.0,6,2,4
Rick Adelman,2007-08,61,HOU,82,55,27,14.0,6,2,4
Rick Adelman,2008-09,62,HOU,82,53,29,12.0,13,7,6
Rick Adelman,2009-10,63,HOU,82,42,40,1.0,"","",""
Rick Adelman,2010-11,64,HOU,82,43,39,2.0,"","",""
Rick Adelman,2011-12,65,MIN,66,26,40,-7.0,0,0,0
Rick Adelman,2012-13,66,MIN,82,31,51,-10.0,0,0,0
Rick Adelman,2013-14,67,MIN,82,40,42,-1.0,0,0,0
Richie Adubato,1979-80,42,DET,70,12,58,-23.0,"","",""
Richie Adubato,1989-90,52,DAL,71,42,29,6.5,3,0,3
Richie Adubato,1990-91,53,DAL,82,28,54,-13.0,"","",""
Richie Adubato,1991-92,54,DAL,82,22,60,-19.0,"","",""
Richie Adubato,1992-93,55,DAL,29,2,27,-12.5,"","",""
Richie Adubato,1996-97,59,ORL,33,21,12,4.5,5,2,3
Danny Ainge,1996-97,37,PHO,74,40,34,3.0,5,2,3
Danny Ainge,1997-98,38,PHO,82,56,26,15.0,4,1,3
Danny Ainge,1998-99,39,PHO,50,27,23,2.0,3,0,3
Danny Ainge,1999-00,40,PHO,20,13,7,3.0,"","",""
Stan Albeck,1979-80,48,CLE,82,37,45,-4.0,"","",""
